,Date,return,RiskFreeRate,spread,SMB,RMW,CMA,HML,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Adj Close,DJI_Volume,DJI_Return,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,GSPC_Adj Close,GSPC_Volume,GSPC_Return,IXIC_Open,IXIC_High,IXIC_Low,IXIC_Close,IXIC_Adj Close,IXIC_Volume,IXIC_Return,SOX_Open,SOX_High,SOX_Low,SOX_Close,SOX_Adj Close,SOX_Volume,SOX_Return,新台幣NTD/USD,台灣VIX波動度,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Vol.,Gold_Change %,Oil_Price,Oil_Open,Oil_High,Oil_Low,Oil_Vol.,Oil_Change %,WS_當天盤中分數,WS_當天盤中分數_norm,WS_當天盤後分數,WS_當天盤後分數_norm,Jeiba_當天盤中分數,Jeiba_當天盤中分數_norm,Jeiba_當天盤後分數,Jeiba_當天盤後分數_norm
746,2020-10-12,0.005332,3.1963475422003285e-07,0.0053316803652457,0.0024396546116476,0.0016680005503959,0.0077645967018272,-0.7133815413932745,28671.12,28957.9,28659.67,28837.52,28837.52,493680000.0,0.8766952695,3500.02,3549.85,3499.61,3534.22,3534.22,3435760000.0,1.641578999,11732.330078,11965.540039,11704.129883,11876.259766,11876.259766,3885030000.0,2.558902075,2423.060059,2444.879883,2416.820068,2433.47998,2433.47998,0.0,1.477871112,28.909,21.51,"1,928.90","1,935.00","1,939.40","1,923.80",157.21K,0.14%,39.43,40.4,40.45,39.04,322.04K,-2.88%,-44.35515691560465,0.5147011434243872,-46.770914525851786,0.3489373824663426,-77.54549223385565,0.45680912577198973,-78.86451180083262,0.26377204497398044
747,2020-10-08,0.011048,3.1963475422003285e-07,0.0110476803652457,-0.001326621241093,-0.0027779045264187,-0.0047372323822267,-1.2478872627105746,28348.86,28459.13,28265.56,28425.51,28425.51,314750000.0,0.4312193633,3434.28,3447.28,3428.15,3446.83,3446.83,3867640000.0,0.8010083522,11443.349609,11448.230469,11384.330078,11420.980469,11420.980469,3507570000.0,0.496109515,2348.030029,2359.959961,2340.969971,2356.159912,2356.159912,0.0,1.173108628,28.966,20.63,"1,895.10","1,890.60","1,905.30","1,885.30",185.45K,0.23%,41.19,39.99,41.33,39.76,409.79K,3.10%,-43.38862947618293,0.525348197242361,-34.73813893751967,0.5180367327402425,-76.5131922224377,0.46411162383273696,-75.50686606494658,0.2961890358881594
748,2020-10-07,0.003317,3.1963475422003285e-07,0.0033166803652457,-0.0053219781819963,-0.0008359679719081,-0.0088489855048366,-0.4327172720494676,27971.36,28369.66,27971.36,28303.46,28303.46,328750000.0,1.910865179,3384.56,3426.26,3384.56,3419.44,3419.44,3814750000.0,1.739676343,11271.679688,11380.55957,11258.349609,11364.599609,11364.599609,3910770000.0,1.882631447,2317.25,2333.72998,2314.73999,2328.840088,2328.840088,0.0,2.093297422,28.965,20.83,"1,890.80","1,882.60","1,902.40","1,877.10",188.59K,-0.94%,39.95,39.83,40.35,39.28,433.07K,-1.77%,-42.3542977389512,0.5367421683007858,-57.84005379094614,0.19338023406960922,-78.33000236276159,0.45125949520761244,-94.89178892421295,0.10903383321604931
749,2020-10-06,0.012428,3.1963475422003285e-07,0.0124276803652457,-0.008173415077107,-0.0066323357105227,-0.0118016340033487,-1.1911416824833274,28214.24,28354.48,27728.03,27772.76,27772.76,435030000.0,-1.335339825,3408.74,3431.56,3354.54,3360.97,3360.97,4453390000.0,-1.397347885,11314.530273,11392.410156,11124.450195,11154.599609,11154.599609,4390960000.0,-1.569739936,2296.919922,2337.469971,2273.659912,2281.090088,2281.090088,0.0,-0.6303459996,28.96,21.19,"1,908.80","1,917.80","1,927.00","1,878.20",219.44K,-0.59%,40.67,39.35,40.86,39.1,400.53K,3.70%,-64.36659083524262,0.29425958612655334,-45.13155910344186,0.3719756195515851,-95.46039526083618,0.33007896674263765,-80.74093682055413,0.24565576422246202
750,2020-10-05,0.00261,3.1963475422003285e-07,0.0026096803652457,-0.0062863608267053,-0.0038989950353604,-0.0048301839486564,-0.2619117970224505,27825.42,28162.64,27825.42,28148.64,28148.64,318210000.0,1.682741022,3367.27,3409.57,3367.27,3408.6,3408.6,3692720000.0,1.797265576,11169.110352,11335.209961,11162.519531,11332.490234,11332.490234,3623920000.0,2.324787801,2245.169922,2296.139893,2245.030029,2295.560059,2295.560059,0.0,3.351459537,29.02,23.27,"1,920.10","1,910.90","1,924.90","1,891.20",177.59K,0.66%,39.22,37.0,39.72,37.0,378.58K,5.86%,-45.20003736871497,0.5053941260681063,-41.92652985698328,0.4170166293507312,-80.25625515859984,0.4376331684125597,-66.17585956273851,0.3862769060197004
751,2020-09-30,0.00384,3.1963475422003285e-07,0.0038396803652457,-0.0075040339237296,0.001067205694234,-0.0035282615651107,-0.4028119302149771,27514.64,28026.33,27511.06,27781.7,27781.7,452550000.0,1.198572379,3341.21,3393.56,3340.47,3363.0,3363.0,4738640000.0,0.8253709372,11092.900391,11277.959961,11092.900391,11167.509766,11167.509766,4260630000.0,0.7420650504,2233.300049,2266.77002,2233.199951,2244.120117,2244.120117,0.0,0.07135262944,29.126,21.7,"1,895.50","1,903.20","1,908.20","1,885.80",259.87K,-0.40%,40.22,39.16,40.37,38.68,340.29K,2.37%,-55.46902069661715,0.3922732629775916,-50.930593008097496,0.29048046838758756,-82.76687404806304,0.4198730314671021,-90.49217619952601,0.15151068066834503
752,2020-09-29,0.000399,3.1963475422003285e-07,0.0003986803652457,-1.9368110559946257e-05,-0.0010060912352777,-0.0032904487909748,-0.0595419026440978,27560.24,27605.6,27338.09,27452.66,27452.66,303820000.0,-0.4763620729,3350.92,3357.92,3327.54,3335.47,3335.47,3661590000.0,-0.4812626805,11109.0,11153.230469,11065.629883,11085.25,11085.25,3389040000.0,-0.2903547119,2236.280029,2261.560059,2234.97998,2242.52002,2242.52002,0.0,0.218092599,29.151,21.52,"1,903.20","1,886.40","1,904.80","1,880.80",217.80K,1.11%,39.29,40.58,40.7,38.41,379.60K,-3.23%,-52.54861807489526,0.4244437763178319,-37.776858942402846,0.4753329047898309,-85.88167998405854,0.39783887080099156,-65.5769076033712,0.3920595947701311
753,2020-09-28,0.018789,3.1963475422003285e-07,0.0187886803652457,-0.0063984819463337,-0.0144838150696176,-0.0168173306558115,-1.8006359128593648,27362.14,27722.6,27362.14,27584.06,27584.06,401860000.0,1.509165392,3333.9,3360.74,3332.91,3351.6,3351.6,3950910000.0,1.611054856,11084.379883,11120.790039,11019.139648,11117.530273,11117.530273,3591740000.0,1.868965865,2206.879883,2238.320068,2193.51001,2237.639893,2237.639893,0.0,2.74583085,29.22,21.85,"1,882.30","1,862.70","1,888.20","1,851.10",235.92K,0.86%,40.6,40.07,40.8,39.78,226.43K,0.87%,-47.87937894418691,0.4758790882251534,-44.489349928567954,0.3810007321213249,-76.51105566222111,0.4641267378758114,-85.92217167696711,0.1956326061896076
754,2020-09-25,-0.002566,3.1963475422003285e-07,-0.0025663196347542,0.011115501617548,0.0082922215294374,0.004234706108695,0.2400486572948027,26694.51,27239.29,26635.38,27173.96,27173.96,388900000.0,1.336990928,3236.66,3306.88,3228.44,3298.46,3298.46,3803330000.0,1.597676331,10680.459961,10939.549805,10639.980469,10913.55957,10913.55957,3785270000.0,2.260906533,2141.209961,2183.110107,2119.5,2177.840088,2177.840088,0.0,1.416591403,29.275,22.5,"1,866.30","1,872.70","1,879.30","1,854.10",230.86K,-0.56%,40.25,40.15,40.64,39.71,229.03K,-0.15%,-47.50843404905227,0.47996533565167676,-52.55778962470567,0.26761310178406306,-80.15123406480592,0.43837608842155423,-91.01583038033056,0.1464549677800307
755,2020-09-24,-0.02539,3.1963475422003285e-07,-0.0253903196347542,-0.0072826777197473,0.0081609904613222,0.011939982525023,2.328986704736284,26716.09,27094.85,26537.01,26815.44,26815.44,447810000.0,0.1954554643,3226.14,3278.7,3209.45,3246.59,3246.59,4601920000.0,0.2987407783,10551.019531,10799.549805,10520.219727,10672.269531,10672.269531,4086360000.0,0.3694096969,2109.929932,2175.919922,2109.929932,2147.419922,2147.419922,0.0,0.9747533291,29.318,23.02,"1,876.90","1,866.90","1,880.90","1,851.00",345.04K,0.45%,40.31,39.6,40.37,39.12,269.99K,0.95%,-56.522878753715375,0.3806641942716443,-59.574427635836976,0.16900668133856075,-81.92293232174201,0.4258430815995028,-91.09802669216367,0.14566138879538837
