Date,sentiment_mean,sentiment_count,sentiment_mean_author,sentiment_mean_engagement
2022-03-23,-0.006880687091310848,2646,-0.006796126729320001,-0.006880705134402626
2022-03-24,-0.016434570435832067,2643,-0.015212809960671737,-0.016455147152308152
2022-03-25,-0.009846720542578949,2696,-0.011655487797782317,-0.009883025692076264
2022-03-28,-0.012155399937928482,2688,-0.012508855163285483,-0.012198601994914324
2022-03-29,-0.013112639487332635,2644,-0.014084929159800814,-0.013135395760194058
2022-03-30,-0.013930256911118329,2702,-0.0141853816845168,-0.013943941950882327
2022-03-31,-0.004728675431040345,2647,-0.005813601829908035,-0.004798060089244035
2022-04-01,-0.005202483874000536,2633,-0.0032211484719411832,-0.0052113432784466444
2022-04-06,-0.010678632947963571,2685,-0.009370888357436886,-0.010678953030477766
2022-04-07,-0.010193298044051837,2675,-0.01083513363373299,-0.010208673306508969
2022-04-08,-0.017035354622862396,2664,-0.017224350822666382,-0.017053415390402317
2022-04-11,-0.015691724353068804,2674,-0.015096397072438176,-0.015702729615765264
2022-04-12,-0.026389619453011402,2676,-0.025790051873645962,-0.02640765665582552
2022-04-13,-0.019456143934108803,2705,-0.019639262115723168,-0.019467786184774294
2022-04-14,-0.01860864170864545,2698,-0.019217244799682228,-0.018618972208102245
2022-04-15,-0.018316750650607047,2683,-0.0175236279528482,-0.018354025961202905
2022-04-18,-0.025146981074596432,2641,-0.025026451453899017,-0.025160322846889724
2022-04-19,-0.020752895603191324,2686,-0.022343271101627413,-0.020766645639512585
2022-04-20,-0.008430002567432699,2647,-0.011596476488454351,-0.008486922435407548
2022-04-21,-0.01384483416951399,2702,-0.015094770348272933,-0.013850024236751884
2022-04-22,-0.013950049761208907,2644,-0.013792642451699689,-0.013957012838797344
2022-04-25,-0.02884817059472972,2612,-0.028566771659784742,-0.028851538607623236
2022-04-26,-0.026137539854027683,2669,-0.026632967120633323,-0.026202575117488837
2022-04-27,-0.020280053715566237,2665,-0.02076223960960641,-0.020280402814873626
2022-04-28,-0.0320587163511638,2727,-0.031993345366741414,-0.03207112776079927
2022-04-29,-0.02633418919496677,2716,-0.026507572005254023,-0.026335895161407198
2022-05-03,-0.026548088736299325,2688,-0.028152131739810474,-0.026552654662844705
2022-05-04,-0.0075969088891885,2708,-0.006219161122870643,-0.0075991264429911085
2022-05-05,-0.013869402239677215,2679,-0.013142348490925401,-0.01388574929687252
2022-05-06,-0.014624519151179002,2619,-0.012926950052498169,-0.014644503953163428
2022-05-09,-0.033328400342130034,2629,-0.030840637752938282,-0.03332558232926902
2022-05-10,-0.020255899756455524,2681,-0.01969029983192361,-0.02025391374148922
2022-05-11,-0.018305346560280808,2702,-0.017092911891535986,-0.01831979668676344
2022-05-12,-0.018490778447108516,2693,-0.019209576558106515,-0.018493148424277447
2022-05-13,-0.022001387128555216,2577,-0.021268624054474782,-0.022030033749088948
2022-05-16,-0.024199449336461273,2686,-0.02311746914331022,-0.024204387870055785
2022-05-17,-0.018642102585884075,2756,-0.01793429397281357,-0.0186454310350172
2022-05-18,-0.009935000178633703,2683,-0.009261261736339541,-0.00995865787412974
2022-05-19,-0.020538370799216204,2711,-0.01932960524641991,-0.02053972332659806
2022-05-20,-0.013342320092471396,2712,-0.012834798726140382,-0.01335387221990758
2022-05-23,-0.022722204404724645,2704,-0.023686567147793647,-0.022727059368886866
2022-05-24,-0.021290871885072896,2625,-0.02137428043521024,-0.021335104325032613
2022-05-25,-0.01544513568529375,2682,-0.01552706128816242,-0.015462126117253836
2022-05-26,-0.021083192678619245,2699,-0.020703837744378787,-0.021086434456106053
2022-05-27,-0.009850029217398904,2659,-0.009639331346573058,-0.009876686889788884
2022-05-30,-0.01299411364478362,2633,-0.011991188989479238,-0.013004604239726587
2022-05-31,-0.010410213224327997,2702,-0.010743965112703332,-0.010418387608252533
2022-06-01,-0.010605652754541202,2639,-0.010827880456680783,-0.010607487232557045
2022-06-02,-0.008446900558429803,2687,-0.00812791815513617,-0.008453388508388667
2022-06-06,-0.022294383079489798,2648,-0.02126242214210258,-0.0223059907201873
2022-06-07,-0.024913287962367223,2615,-0.025455456547889936,-0.024951435251975785
2022-06-08,-0.014453477374613086,2723,-0.014293122110815697,-0.014450028405968261
2022-06-09,-0.01777428207094035,2676,-0.017839447845590425,-0.017767189901187714
2022-06-10,-0.013183970593760998,2650,-0.01187413329023413,-0.013192398818998283
2022-06-13,-0.018177995277414996,2656,-0.01755345385573194,-0.01818253624734715
2022-06-14,-0.02343521945757773,2675,-0.022379063703193373,-0.023445190221448177
2022-06-15,-0.0223603828924712,2667,-0.022018182404177414,-0.022375285088942973
2022-06-16,-0.018240283144874348,2695,-0.017455069715977233,-0.018248937076363856
2022-06-17,-0.013512926689300321,2652,-0.013910162332271,-0.01354975884687173
2022-06-20,-0.030987170734844853,2681,-0.0305724973648601,-0.030999199418900635
2022-06-21,-0.020998348592422535,2733,-0.018814729414339135,-0.02100326092576457
2022-06-22,-0.024594661815389295,2688,-0.02373780468582815,-0.02461463529027799
2022-06-23,-0.03063008600270764,2662,-0.03049679047658833,-0.03064286160958637
2022-06-24,-0.005915281507292124,2680,-0.008462951977101051,-0.005935870441170815
2022-06-27,-0.010446476145357389,2736,-0.009501497112491751,-0.010443748056644282
2022-06-28,-0.013540724187770596,2703,-0.01261565978202351,-0.013546026900742613
2022-06-29,-0.017108147914302433,2680,-0.015884956805971108,-0.01712412375226295
2022-06-30,-0.023760346700032877,2661,-0.024455748660349087,-0.023766476048958724
